"date","Andaman and Nicobar Islands","Andhra Pradesh","Arunachal Pradesh","Assam","Bihar","Chandigarh","Chhattisgarh","Delhi","Goa","Gujarat","Haryana","Himachal Pradesh","Jammu and Kashmir","Jharkhand","Karnataka","Kerala","Lakshadweep","Madhya Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Nagaland","Odisha","Puducherry","Punjab","Rajasthan","Sikkim","Tamil Nadu","Telangana","Tripura","Uttar Pradesh","Uttarakhand","West Bengal"
"2020-05-11","","-99.81 %","","-99.98 %","-99.91 %","  4.62 %","-##.## %","  4.51 %","","-98.04 %","-99.87 %","-99.99 %","-99.52 %","-99.95 %","-99.95 %","-99.98 %","","-99.15 %","-99.42 %","","","","","-99.90 %","","-99.55 %","-99.21 %","","-99.30 %","-99.77 %","","-99.68 %","","-99.74 %"
"2020-05-12","","-99.81 %","","","-99.64 %","  3.31 %","-##.## %","  5.65 %","","-94.89 %","-99.69 %","-99.92 %","-99.30 %","-99.89 %","-99.93 %","-99.99 %","","-97.71 %","-98.59 %","","","","","-99.92 %","","-99.28 %","-98.07 %","","-98.86 %","-99.63 %","-99.56 %","-99.32 %","-99.98 %","-99.51 %"
"2020-05-13","","-99.76 %","","-99.98 %","-99.68 %","  2.14 %","-##.## %","  4.73 %","","-95.67 %","-99.75 %","-99.96 %","-99.26 %","-99.87 %","-99.93 %","-99.96 %","","-98.00 %","-98.58 %","","-99.88 %","","","-99.85 %","   .00 %","-99.37 %","-98.49 %","","-98.90 %","-99.68 %"," -4.43 %","-99.44 %","-99.94 %","-99.61 %"
"2020-05-14","","-99.82 %","","-99.97 %","-99.86 %","   .00 %","-##.## %","  5.94 %"," ##.## %","-98.36 %","-99.87 %","-99.97 %","-99.65 %","-99.94 %","-99.95 %","-99.97 %","","-99.24 %","-99.41 %","-99.99 %","","","","-99.86 %"," 30.00 %","-99.86 %","-99.37 %","","-99.23 %","-99.78 %","-99.61 %","-99.72 %","-99.96 %","-99.76 %"
"2020-05-15","","-99.74 %","","-99.97 %","-99.63 %","   .00 %","-##.## %","  5.05 %","","-95.55 %","-99.72 %","-99.92 %","-99.07 %","-99.79 %","-99.92 %","-99.96 %","","-97.93 %","-98.53 %","","","","","-99.77 %","","-99.09 %","-97.94 %","","-98.84 %","-99.67 %","-98.80 %","-99.33 %","-99.89 %","-99.61 %"
"2020-05-16",""," ##.## %",""," ##.## %"," ##.## %","   .00 %","-99.99 %","  4.95 %"," ##.## %"," ##.## %"," ##.## %","-99.91 %"," ##.## %","-99.81 %"," ##.## %"," 34.12 %",""," ##.## %"," ##.## %","-99.75 %","","",""," ##.## %","-84.62 %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %","-98.70 %"," ##.## %"," ##.## %","-99.58 %"
"2020-05-17","","-94.68 %","","-99.56 %","-96.11 %","","-99.28 %","  4.54 %"," 37.50 %","-76.32 %"," ##.## %","-98.15 %"," ##.## %","-97.47 %","   .00 %","-96.13 %","","-78.25 %"," ##.## %","","","","","-95.28 %","","-86.73 %"," ##.## %",""," ##.## %"," ##.## %","-94.08 %"," ##.## %","-98.83 %","-94.39 %"
"2020-05-18","","-99.71 %","","-99.92 %","-99.46 %","  2.62 %","-99.99 %","  3.08 %"," 54.55 %","-93.10 %","-99.62 %","-99.66 %","-98.62 %","-99.80 %","-99.86 %","-99.87 %","","-97.10 %","-97.87 %","","-99.85 %","","","-99.73 %","","-99.09 %","-97.16 %","","-98.45 %","-99.54 %","-99.53 %","-99.16 %","-99.90 %","-99.31 %"
"2020-05-19","","-99.66 %","","-99.83 %","-99.24 %","  1.53 %","-99.75 %","  5.00 %"," 23.53 %","-83.87 %","-97.87 %","-97.97 %","-97.31 %","-99.18 %","-99.43 %","-99.39 %","","-87.25 %","-93.24 %","-99.84 %","","","","-98.20 %"," ##.## %","-93.71 %","-90.05 %","","-96.30 %","-98.58 %","-97.44 %","-96.94 %","-99.51 %","-97.56 %"
"2020-05-20","","-99.69 %","","-99.90 %","-99.47 %","  1.51 %","-99.99 %","  5.08 %","  9.52 %","-94.59 %","-99.69 %","-99.85 %","-98.54 %","-99.72 %","-99.90 %","-99.94 %","","-97.46 %","-98.03 %","-99.84 %","-99.99 %","","","-99.59 %","-85.00 %","-99.32 %","-97.91 %","","-98.53 %","-99.60 %","","-99.06 %","-99.84 %","-99.48 %"
