"date","Massachusetts/Barnstable","Massachusetts/Berkshire","Massachusetts/Bristol","Massachusetts/Brockton","Massachusetts/Dukes","Massachusetts/Dukes and Nantucket","Massachusetts/Essex","Massachusetts/Franklin","Massachusetts/Hampden","Massachusetts/Hampshire","Massachusetts/Middlesex","Massachusetts/Nantucket","Massachusetts/Norfolk","Massachusetts/Plymouth","Massachusetts/Suffolk","Massachusetts/Unassigned","Massachusetts/Worcester"
"2020-04-13","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-14","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-15"," 12.50 %","  5.00 %"," 30.23 %","","","   .00 %"," 38.61 %","   .00 %"," 48.04 %","   .00 %"," 48.32 %",""," 61.54 %"," 61.82 %"," 68.60 %","-86.00 %"," 51.02 %"
"2020-04-16","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-17","   .00 %"," 14.29 %"," 12.50 %","","","   .00 %"," 13.57 %","   .00 %","  6.62 %","   .00 %"," 16.74 %",""," 17.69 %","  4.49 %"," 13.10 %"," 14.29 %"," 13.51 %"
"2020-04-18"," 11.11 %","   .00 %"," 19.05 %","","","   .00 %"," 11.95 %","   .00 %"," 12.42 %"," 16.67 %"," 13.95 %",""," 12.72 %"," 12.90 %"," 14.63 %"," 18.75 %","  9.52 %"
"2020-04-19","  5.00 %"," 12.50 %"," 16.00 %","","","   .00 %"," 17.42 %","  4.00 %"," 16.57 %","   .00 %"," 26.53 %",""," 25.13 %"," 24.76 %"," 25.53 %","  5.26 %"," 23.91 %"
"2020-04-20","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-04-21","  4.76 %","  7.41 %"," 10.34 %","","","   .00 %"," 17.22 %"," 11.54 %"," 15.64 %"," 42.86 %"," 15.05 %",""," 18.85 %","  7.63 %"," 20.76 %","-60.00 %"," 16.67 %"
"2020-04-22","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-23","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 77.73 %","   .00 %"
"2020-04-24","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 48.16 %","   .00 %"
"2020-04-25"," 68.18 %","  6.90 %"," 35.42 %","","","   .00 %"," 37.14 %"," 10.34 %"," 29.10 %"," ##.## %"," 46.96 %",""," 37.93 %"," 50.35 %"," 37.19 %","-97.84 %"," 37.59 %"
"2020-04-26","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  6.52 %","","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %"
"2020-04-27","  5.41 %","   .00 %","  5.38 %","","","   .00 %","  6.85 %","  3.12 %","  6.98 %"," 30.00 %","  4.48 %","","  7.25 %"," 13.21 %"," 14.58 %","-94.33 %"," 17.49 %"
"2020-04-28","   .00 %","   .00 %"," 13.14 %","","","   .00 %","  6.69 %","   .00 %","  2.67 %","  3.85 %","  4.43 %","","  4.43 %","  6.67 %","  4.69 %","-37.50 %","  6.51 %"
"2020-04-29","  2.56 %","  9.68 %","  6.45 %","","","   .00 %"," 10.97 %","  6.06 %","  3.47 %"," -3.70 %","  9.71 %","","  8.04 %","  6.64 %","  7.46 %","   .00 %"," 10.48 %"
"2020-04-30","  7.50 %","  2.94 %","  4.24 %","","","   .00 %","  5.41 %","  5.71 %","  4.19 %"," 15.38 %","  5.36 %","","  3.10 %","  4.40 %","  3.97 %","   .00 %","  4.74 %"
"2020-05-01","  4.65 %","  2.86 %","  5.81 %","","","   .00 %","  2.68 %","   .00 %","  2.14 %","  6.67 %","  4.73 %","","  4.61 %","  5.61 %","  4.96 %"," 20.00 %","  4.91 %"
"2020-05-02","  2.22 %","   .00 %","  2.75 %","","","   .00 %","  5.22 %","   .00 %","  1.57 %","  3.12 %","  4.29 %","","  2.49 %","  3.65 %","  3.45 %","-33.33 %","  5.04 %"
"2020-05-03","  2.17 %","   .00 %","  5.88 %","","","   .00 %","  3.10 %","   .00 %","  2.84 %","  9.09 %","  5.31 %","","  2.80 %","  3.53 %","  3.34 %"," 75.00 %","  6.85 %"
"2020-05-04","   .00 %","   .00 %","  3.54 %","","","   .00 %","  2.61 %","   .00 %","  2.51 %","   .00 %","  2.57 %","","   .91 %","  3.10 %","  1.36 %","   .00 %","  2.56 %"
"2020-05-05","  2.13 %","   .00 %","  2.44 %","","","   .00 %","  2.93 %","   .00 %","  1.72 %"," 30.56 %","  3.11 %","","  3.60 %","  2.40 %","  2.18 %","   .00 %","  3.44 %"
"2020-05-06"," 14.58 %","  2.78 %","  6.19 %","","","   .00 %","  6.45 %","  2.70 %","  2.41 %","   .00 %","  4.09 %","","  3.65 %","  4.69 %","  5.42 %","-57.14 %"," 10.27 %"
"2020-05-07","  3.64 %","   .00 %","  4.04 %","","","   .00 %","  3.03 %","  2.63 %","  2.12 %","  2.13 %","  3.08 %","","  2.01 %","  1.96 %","  3.27 %","   .00 %","  5.48 %"
"2020-05-08","  7.02 %","   .00 %","  8.62 %","","","   .00 %","  3.98 %","  5.13 %","  1.61 %","   .00 %","  2.63 %","","  2.47 %","  3.02 %","  3.02 %","   .00 %","  4.94 %"
"2020-05-09","  8.20 %","   .00 %","  3.17 %","","","   .00 %","  3.99 %","  2.44 %","   .91 %","  4.17 %","  3.27 %","","  1.93 %","  2.40 %","  2.93 %","   .00 %","  3.96 %"
"2020-05-10","  3.03 %","   .00 %","  2.31 %","","","   .00 %","  3.04 %","   .00 %","   .90 %"," 10.00 %","  3.25 %","","  2.36 %","  2.34 %","  2.13 %"," 66.67 %","  5.71 %"
"2020-05-11","  7.35 %","   .00 %","  3.01 %","","","   .00 %","  3.88 %","   .00 %","  2.00 %","  3.64 %","  2.32 %","","  1.69 %","  3.82 %","  1.81 %","   .00 %","  2.93 %"
"2020-05-12","   .00 %","   .00 %","  1.46 %","","","   .00 %","  1.35 %","   .00 %","  1.31 %","   .00 %","   .73 %","","   .30 %","   .25 %","   .14 %","-20.00 %","   .44 %"
"2020-05-13","  8.22 %","   .00 %","  3.60 %","","","   .00 %","  3.83 %","  2.38 %","  2.37 %"," 12.28 %","  3.05 %","","  1.96 %","  3.67 %","  2.32 %","   .00 %","  6.54 %"
"2020-05-14","  3.80 %","   .00 %","  3.12 %","","","   .00 %","  2.98 %","   .00 %","  2.53 %","  3.12 %","  3.51 %","","  2.96 %","  2.59 %","  1.34 %","-25.00 %","  7.16 %"
"2020-05-15","  4.88 %","   .00 %","  2.02 %","",""," ##.## %","  3.59 %","   .00 %","  1.44 %","  1.52 %","  1.51 %","","  2.01 %","  2.07 %","  1.19 %","-33.33 %","  2.67 %"
"2020-05-16","  4.65 %","   .00 %","  3.30 %","","","-50.00 %","  2.00 %","  2.33 %","  2.43 %","  2.99 %","  1.71 %","","  1.27 %","  2.48 %","  1.30 %"," 50.00 %","  2.97 %"
"2020-05-17","  3.33 %","   .00 %","  2.24 %","","","   .00 %","  1.31 %","   .00 %","  1.98 %","  4.35 %","  1.75 %","","   .83 %","  1.10 %","  1.16 %","   .00 %","  2.71 %"
"2020-05-18","  2.15 %","   .00 %","  1.25 %","","","   .00 %","  1.80 %","  2.27 %","   .19 %","   .00 %","  1.29 %","","   .41 %","   .87 %","   .76 %","   .00 %","  2.11 %"
"2020-05-19","  1.05 %","   .00 %","  1.85 %","","","   .00 %","   .89 %","   .00 %","   .77 %","  1.39 %","  1.70 %","","   .96 %","  1.29 %","   .50 %","   .00 %","  2.75 %"
"2020-05-20","  2.08 %","   .00 %","  2.42 %","","","   .00 %","  2.51 %","  2.22 %","   .96 %","  4.11 %","  1.81 %","","  1.90 %","  2.34 %","  1.25 %","   .00 %","  4.69 %"
"2020-05-21","  1.02 %","   .00 %","  2.07 %","","","   .00 %","  1.71 %","   .00 %","  1.33 %","   .00 %","  1.09 %","","  1.34 %","  1.25 %","   .74 %","   .00 %","  2.40 %"
"2020-05-22","  4.04 %","  2.70 %","  2.32 %","","","   .00 %","  1.32 %","   .00 %","   .75 %","   .00 %","  1.22 %","","  1.58 %","  1.03 %","   .62 %","   .00 %","  1.88 %"
"2020-05-23","  3.88 %","   .00 %","  2.55 %","","","   .00 %","   .71 %","   .00 %","   .74 %","  1.32 %","  1.07 %","","   .39 %","  1.83 %","  1.10 %","   .00 %","  2.30 %"
"2020-05-24","  1.87 %","   .00 %","  1.93 %","","","   .00 %","  1.30 %","  2.17 %","   .18 %","  1.30 %","   .40 %","","  1.03 %","  1.40 %","  1.33 %"," 33.33 %","  1.80 %"
"2020-05-25","   .92 %","   .00 %","  1.63 %","","","   .00 %","   .47 %","   .00 %","   .18 %","  2.56 %","   .59 %","","   .26 %","   .98 %","   .12 %","   .00 %","  1.91 %"
"2020-05-26","   .00 %","  2.63 %","  1.87 %","","","   .00 %","   .81 %","   .00 %","   .55 %","  2.50 %","   .52 %","","   .89 %","  1.75 %","   .60 %","   .00 %","  1.16 %"
"2020-05-27","   .91 %","  2.56 %","  2.09 %","","","   .00 %","   .92 %","   .00 %","  1.47 %","   .00 %","   .91 %","","   .38 %","  1.53 %","   .71 %"," 25.00 %","  2.29 %"
"2020-05-28","  3.60 %","   .00 %","  2.31 %","","","   .00 %","  1.94 %","   .00 %","  1.44 %","  1.22 %","   .97 %","","   .63 %","  1.70 %","   .24 %"," 20.00 %","  3.07 %"
"2020-05-29","   .87 %","   .00 %","  1.25 %","","","   .00 %","  1.23 %","   .00 %","  1.25 %","  3.61 %","  1.21 %","","  1.50 %","   .56 %","  1.06 %","   .00 %","  1.08 %"
"2020-05-30","  -.86 %","   .00 %","  1.49 %","","","   .00 %","   .33 %","   .00 %","   .53 %","  2.33 %","   .82 %","","   .49 %","  1.11 %","   .81 %","   .00 %","   .94 %"
"2020-05-31","   .87 %","   .00 %","  1.22 %","","","   .00 %","  1.76 %","   .00 %","  1.40 %","  1.14 %","  1.19 %","","   .74 %","   .73 %","   .35 %"," 16.67 %","  1.86 %"
"2020-06-01","  1.72 %","   .00 %","  3.37 %","","","   .00 %","  4.65 %","   .00 %","  3.62 %","   .00 %","  2.17 %","","  2.44 %","  1.81 %","  2.87 %"," ##.## %","  1.56 %"
"2020-06-02","   .00 %","   .00 %","  1.40 %","","","   .00 %","   .31 %","   .00 %","   .33 %","  1.12 %","   .79 %","","   .48 %","  1.07 %","   .67 %","-14.29 %","  1.41 %"
"2020-06-03","  2.54 %","   .00 %","  1.38 %","","","   .00 %","   .82 %","   .00 %","   .83 %","  3.33 %","   .78 %","","   .59 %","   .70 %","   .67 %","   .00 %","  1.77 %"
"2020-06-04","   .00 %","   .00 %","  2.49 %","","","   .00 %","   .72 %","   .00 %","   .16 %","  1.08 %","   .78 %","","   .47 %","  1.22 %","   .55 %","-16.67 %","   .25 %"
"2020-06-05","  1.65 %","   .00 %","   .66 %","","","   .00 %","   .41 %","  2.13 %","   .16 %","  1.06 %","   .36 %","","   .12 %","   .35 %","   .99 %","-30.00 %","   .87 %"
"2020-06-06","   .00 %","   .00 %","  2.64 %","","","   .00 %","   .81 %","   .00 %","  1.31 %","   .00 %","   .35 %","","   .47 %","  1.20 %","   .11 %"," 14.29 %","   .86 %"
"2020-06-07","   .00 %","   .00 %","   .43 %","","","   .00 %","   .50 %","   .00 %","   .32 %","  3.16 %","   .24 %","","   .47 %","   .51 %","   .11 %","   .00 %","   .37 %"
"2020-06-08","   .00 %","  2.50 %","   .85 %","","","   .00 %","   .30 %","  2.08 %","   .32 %","  2.04 %","   .35 %","","   .35 %","   .68 %","   .76 %","   .00 %","   .49 %"
"2020-06-09","   .00 %","   .00 %","  1.69 %","","","   .00 %","   .99 %","   .00 %","   .48 %","   .00 %","   .53 %","","   .46 %","  1.34 %","   .43 %"," 25.00 %","   .85 %"
"2020-06-10","  3.25 %","   .00 %","  1.25 %","","","   .00 %","   .79 %","   .00 %","   .64 %","   .00 %","   .29 %","","   .34 %","   .83 %","   .11 %","   .00 %","  1.20 %"
"2020-06-11","   .00 %","   .00 %","  1.03 %","","","   .00 %","   .68 %","   .00 %","   .64 %","   .00 %","   .46 %","","   .34 %","   .66 %","   .21 %","   .00 %","   .59 %"
"2020-06-12","   .00 %","  2.44 %","   .81 %","","","   .00 %","   .39 %","  2.04 %","  -.16 %","  3.00 %","   .63 %","","   .68 %","  1.14 %","   .32 %","   .00 %","   .82 %"
"2020-06-13","   .79 %","   .00 %","  2.22 %","","","   .00 %","   .58 %","   .00 %","   .79 %","   .00 %","   .23 %","","   .00 %","   .32 %","   .21 %","   .00 %","   .82 %"
"2020-06-14","  1.56 %","   .00 %","  1.78 %","","","   .00 %","   .48 %","  2.00 %","   .47 %","   .00 %","   .46 %","","   .68 %","   .00 %","   .74 %","   .00 %","   .81 %"
"2020-06-15","   .00 %","   .00 %","   .39 %","","   .00 %","   .00 %","   .48 %","   .00 %","   .00 %","   .00 %","   .40 %","   .00 %","   .23 %","   .81 %","   .11 %","   .00 %","   .11 %"
"2020-06-16","   .77 %","   .00 %","   .39 %","","","-##.## %","   .10 %","   .00 %","   .31 %","   .00 %","   .11 %","","   .11 %","   .48 %","   .11 %","-10.00 %","   .69 %"
"2020-06-17","  1.53 %","   .00 %","  1.54 %","","","   .00 %","   .48 %","  1.96 %","   .47 %","  1.94 %","   .91 %","","  1.35 %","   .32 %","   .74 %","   .00 %","  1.25 %"
"2020-06-18","  1.50 %","   .00 %","  1.14 %","","","   .00 %","   .57 %","   .00 %","   .16 %","   .95 %","   .39 %","","   .22 %","   .79 %","   .42 %"," 11.11 %","   .11 %"
"2020-06-19","   .74 %","  4.76 %","   .56 %","","","   .00 %","   .19 %","   .00 %","   .15 %","   .00 %","   .17 %","","   .22 %","   .63 %","   .83 %","   .00 %","   .45 %"
"2020-06-20","   .00 %","   .00 %","   .37 %","","","   .00 %","   .56 %","  1.92 %","   .15 %","   .00 %","   .56 %","","   .11 %","   .16 %","   .21 %","   .00 %","   .45 %"
"2020-06-21","   .74 %","   .00 %","   .56 %","","","   .00 %","   .47 %","   .00 %","   .00 %","   .94 %","   .33 %","","   .44 %","   .31 %","   .51 %","   .00 %","   .33 %"
"2020-06-22","   .73 %","   .00 %","   .74 %","","","   .00 %","   .09 %","   .00 %","  -.15 %","   .00 %","   .11 %","","   .22 %","   .47 %","   .10 %","   .00 %","   .33 %"
"2020-06-23","  1.45 %","   .00 %","   .37 %","","","   .00 %","   .37 %","   .00 %","   .31 %","   .00 %","   .17 %","","   .55 %","   .15 %","  -.31 %","-20.00 %","   .22 %"
"2020-06-24","   .00 %","   .00 %","  1.28 %","","","   .00 %","   .19 %","   .00 %","   .77 %","   .93 %","   .44 %","","   .44 %","   .62 %","   .82 %","   .00 %","   .99 %"
"2020-06-25","   .71 %","   .00 %","   .54 %","","","   .00 %","   .28 %","  1.89 %","   .00 %","   .93 %","   .27 %","","   .11 %","   .46 %","   .61 %","-25.00 %","   .33 %"
"2020-06-26","  1.42 %","   .00 %","  1.25 %","","","   .00 %","   .55 %","   .00 %","   .46 %","   .00 %","   .77 %","","   .32 %","   .61 %","   .71 %"," 16.67 %","   .33 %"
"2020-06-27","   .00 %","   .00 %","   .35 %","","","   .00 %","   .37 %","   .00 %","   .30 %","   .92 %","   .54 %","","   .00 %","   .30 %","   .70 %","   .00 %","   .00 %"
"2020-06-28","   .70 %","   .00 %","   .18 %","","","   .00 %","   .27 %","   .00 %","   .61 %","   .00 %","   .32 %","","   .00 %","   .45 %","   .00 %","   .00 %","   .11 %"
"2020-06-29","   .69 %","   .00 %","  1.23 %","","","   .00 %","   .64 %","   .00 %","   .15 %","   .00 %","   .38 %","","   .32 %","   .45 %","   .30 %","   .00 %","   .33 %"
"2020-06-30","  -.69 %","   .00 %","  -.17 %","","","   .00 %","  -.18 %","   .00 %"," -1.36 %","   .00 %","  -.59 %","","  -.75 %","  -.15 %","  -.50 %","   .00 %","  -.43 %"
"2020-07-01","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-07-02","  2.08 %","   .00 %","  2.26 %","","","   .00 %","   .63 %","  1.85 %","   .92 %","  3.64 %","   .86 %","","  1.08 %","  -.30 %","   .60 %","   .00 %","  1.52 %"
"2020-07-03","   .68 %","  2.27 %","   .00 %","","","   .00 %","   .45 %","   .00 %","   .15 %","   .88 %","   .16 %","","   .11 %","   .30 %","   .10 %","   .00 %","   .11 %"
"2020-07-04","   .68 %","   .00 %","   .51 %","","","   .00 %","   .27 %","   .00 %","   .30 %","   .87 %","   .37 %","","   .32 %","   .30 %","  -.10 %","   .00 %","   .21 %"
"2020-07-05","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .30 %","   .00 %","   .11 %","","   .32 %","   .15 %","  -.10 %","   .00 %","   .43 %"
"2020-07-06","   .67 %","   .00 %","   .34 %","","","   .00 %","   .27 %","   .00 %","   .60 %","   .00 %","   .16 %","","   .00 %","   .00 %","   .10 %","   .00 %","   .11 %"
"2020-07-07","   .00 %","   .00 %","   .00 %","","","   .00 %","   .36 %","   .00 %","   .30 %","   .00 %","   .32 %","","   .11 %","   .15 %","   .00 %","   .00 %","   .11 %"
"2020-07-08","   .00 %","   .00 %","   .00 %","","","   .00 %","   .44 %","   .00 %","   .00 %","   .00 %","   .48 %","","   .21 %","   .60 %","   .40 %","   .00 %","   .64 %"
"2020-07-09","   .00 %","   .00 %","   .34 %","","","   .00 %","   .18 %","  1.82 %","  -.15 %","   .86 %","   .32 %","","   .74 %","   .15 %","   .10 %","   .00 %","   .53 %"
"2020-07-10","   .67 %","   .00 %","   .34 %","","","   .00 %","   .26 %","   .00 %","   .15 %","   .00 %","   .26 %","","   .63 %","   .45 %","   .30 %","   .00 %","   .42 %"
"2020-07-11","   .00 %","   .00 %","   .34 %","","","   .00 %","   .00 %","  1.79 %","   .30 %","   .00 %","   .26 %","","   .10 %","   .15 %","   .20 %","   .00 %","   .00 %"
"2020-07-12","   .00 %","   .00 %","   .50 %","","","   .00 %","   .09 %","   .00 %","   .59 %","   .00 %","   .16 %","","   .10 %","   .15 %","   .20 %","   .00 %","   .00 %"
"2020-07-13","   .00 %","   .00 %","   .00 %","","","   .00 %","  -.09 %","   .00 %","   .00 %","   .00 %","   .26 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .10 %"
"2020-07-14","   .66 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .15 %","   .00 %","   .10 %","","   .10 %","   .15 %","   .20 %","   .00 %","   .21 %"
"2020-07-15","   .00 %","   .00 %","   .33 %","","","   .00 %","   .00 %","  1.75 %","   .29 %","   .85 %","   .26 %","","   .31 %","   .88 %","   .20 %","   .00 %","   .62 %"
"2020-07-16","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","  -.15 %","   .85 %","   .31 %","","   .00 %","   .29 %","   .29 %","   .00 %","   .10 %"
"2020-07-17","   .66 %","   .00 %","   .66 %","","","   .00 %","   .26 %","   .00 %","   .15 %","   .00 %","   .21 %","","   .10 %","   .73 %","   .29 %","-14.29 %","   .10 %"
"2020-07-18","   .65 %","   .00 %","   .16 %","","","   .00 %","   .09 %","   .00 %","   .00 %","   .00 %","   .31 %","","   .31 %","   .14 %","   .49 %","   .00 %","  -.10 %"
"2020-07-19","   .00 %","   .00 %","   .16 %","","","   .00 %","   .26 %","   .00 %","   .15 %","   .84 %","   .15 %","","   .10 %","   .14 %","   .00 %","   .00 %","   .10 %"
"2020-07-20","   .00 %","   .00 %","   .16 %","","","   .00 %","   .00 %"," -1.72 %","  -.59 %","  2.50 %","   .05 %","","   .10 %","   .14 %","   .00 %","   .00 %","   .00 %"
"2020-07-21","   .00 %","   .00 %","   .49 %","","","   .00 %","   .26 %","   .00 %","   .15 %","  1.63 %","  -.10 %","","   .21 %","   .43 %","   .39 %","   .00 %","   .10 %"
"2020-07-22","   .00 %","   .00 %","   .33 %","","","   .00 %","   .52 %","   .00 %","   .15 %","   .00 %","   .26 %","","   .21 %","   .14 %","   .00 %","   .00 %","   .10 %"
"2020-07-23","   .65 %","   .00 %","   .00 %","","","   .00 %","   .43 %","   .00 %","   .15 %","   .00 %","   .00 %","","   .21 %","   .14 %","   .29 %","   .00 %","   .31 %"
"2020-07-24","   .00 %","   .00 %","   .16 %","","","   .00 %","   .17 %","  1.75 %","   .15 %","   .00 %","   .15 %","","   .10 %","   .00 %","   .19 %","   .00 %","   .31 %"
"2020-07-25","   .00 %","   .00 %","   .00 %","","","   .00 %","   .26 %","  1.72 %","   .15 %","   .80 %","   .05 %","","   .10 %","   .14 %","   .19 %","   .00 %","   .10 %"
"2020-07-26","   .00 %","   .00 %","   .16 %","","","   .00 %","   .43 %","   .00 %","   .59 %","   .00 %","   .10 %","","   .10 %","   .28 %","   .19 %","   .00 %","   .20 %"
"2020-07-27","   .00 %","   .00 %","   .00 %","","","   .00 %","   .17 %","   .00 %","   .15 %","   .79 %","   .10 %","","   .00 %","   .14 %","   .00 %","   .00 %","   .00 %"
"2020-07-28","   .00 %","   .00 %","   .65 %","","","   .00 %","   .09 %","   .00 %","   .15 %","   .00 %","   .10 %","","   .00 %","   .14 %","   .38 %","   .00 %","   .20 %"
"2020-07-29","   .00 %","   .00 %","   .16 %","","","   .00 %","   .43 %","  1.69 %","   .44 %","   .00 %","   .51 %","","   .20 %","   .14 %","   .19 %","   .00 %","   .41 %"
"2020-07-30","   .00 %","   .00 %","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
